Date          Cases      
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/17          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/18          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
2021/05/19          00
